,review_body,stars,language,translated_review
0,Muy buena la estética pero ojo porque son de plástico!!!,3,es,Very good aesthetics but eye because they are plastic !!!
1,"Lo que no me ha gustado nada es el cargo por envio, mas del 10% del precio del producto, fatal.",2,es,"What I did not like anything is shipping charge, more than 10% of the price of the product, fatal."
2,"Me gusta este vigilabebes, la calidad de imagen es bastante buena, esta en color, y en blanco y negro cuando no hay luz. Un plus que me ha gustado mucho es que puedes hablarle al bebe para que se tranquilice. También puedes ponerle música relajante ( hay 4 canciones), te mide la temperatura de la habitación y te puede avisar para las tomas cada 2,4, 6 u 8 horas. Se cargan mediante cable microusb, como en los moviles. Todavía no he probado la duración de la batería, ya os lo diré. La calidad de la señal es buena, yo lo tengo en la planta de arriba, y se ve bien. Se podría mejorar con instrucciones en español, pero vamos, que es muy intuitivo.",5,es,"I like this vigilabebes, the image quality is quite good, it is in color, and in black and white when there is no light.A plus that I liked a lot is that you can talk to the baby to calm down.You can also put relaxing music (there are 4 songs), it measures the temperature of the room and you can notify you for the shots every 2.4, 6 or 8 hours.They are charged by Microusb cable, as in mobile phones.I have not yet tried the battery life, I will tell you.The signal quality is good, I have it on the top floor, and looks good.It could be improved with Spanish instructions, but come on, which is very intuitive."
3,No está mal la verdad es que funciona bastante bien y el manejo no es muy complicado. Mi niño tiene 5 años y bueno le cuesta un poco pero es normal está aprendiendo. El mayor inconveniente es la duración de las pilas se han gastado muy deprisa sobre todo las del coche,4,es,The truth is not bad is that it works quite well and the management is not very complicated.My child is 5 years old and well it costs him a bit but it is normal is learning.The greatest inconvenience is the duration of the batteries have been very quickly spent especially those in the car
4,"Recibida en tiempo y forma, la calidad es mala o peor. Primer uso, persona de 80 Kg y la escalera se dobló.....resulta insegura y nada recomendable",2,es,"Received in a timely manner, quality is bad or worse.First use, 80 kg person and the ladder folded ..... it is insecure and nothing recommended"
5,Calidad precio buena va muy bien y hace su trabajo me gusta la compra,4,es,Good quality price is going very well and I do your job I like the purchase
6,El hilo es bastante malo. Se me ha roto en varias ocasiones. No lo volvería a comprar.,2,es,The thread is quite bad.It has broken on me several times.I wouldn't buy it again.
7,"Este es el segundo que compro, ahora para la suegra.....en general va bastante bien. El único pero es que cuesta un poco plegarlo.",3,es,"This is the second that I buy, now for the mother -in -law ..... in general it is going quite well.The only one but it costs a bit to be folded."
8,Venía con fallo de fábrica. Tenía dobles en el vinilo y no permitían la escucha. Ya lo he devuelto.,1,es,It came with factory failure.He had doubles in the vinyl and did not allow listening.I have already returned it.
9,"Resistentes, cumplen fielmente su función. Como crítica el embalaje es inadecuado para la calidad de los guantes ya que se adhieren en una pelota y resulta difícil sacar solo un par.. Dato sin importancia.",4,es,"Resistant, faithfully fulfill their function.As criticism of the packaging is inappropriate for the quality of gloves since they adhere in a ball and it is difficult to get only a pair .. unimportant data."
10,"Segunda vez que los compro. Les he dado muchísimo uso y es un color muy bonito, la única pega que les pongo es que cuando están nuevos traspasan las hojas, dejan al final o al principio la tinta. A medida que se les da uso y pierden tinta dejan de hacerlo, pero también pigmentan menos. Normalmente cuestan 1.5-2 en papelería cada unos, así que por este precio salen bastante mejor.",4,es,"Second time I buy them.I have given them a lot of use and it is a very beautiful color, the only paste that I put them is that when new they cross the leaves, they leave the ink at the end.As they are given and lose ink, they stop doing so, but they also pigment less.Normally they cost 1.5-2 on stationery each, so for this price they come out much better."
